url,path,path_depth,slug_tokens,action,object,scene,intent_category,notes,lastmod
https://www.krea.ai/nodes/app/undamagedgainfulkrill/probably-a-pfp,/nodes/app/undamagedgainfulkrill/probably-a-pfp,4,nodes app undamagedgainfulkrill probably a pfp,,,,unknown,,2025-12-19T05:55:05.389Z
https://www.krea.ai/nodes/app/keeninspiringfangtooth/weight-gain-take-3,/nodes/app/keeninspiringfangtooth/weight-gain-take-3,4,nodes app keeninspiringfangtooth weight gain take 3,,,,unknown,,2025-12-15T04:19:40.384Z
https://www.krea.ai/nodes/app/mergexmachine/internal-modeled-product-content-creation,/nodes/app/mergexmachine/internal-modeled-product-content-creation,4,nodes app mergexmachine internal modeled product content creation,generate,,,generate-general,Generate new content from prompts or source assets.,2025-12-17T21:18:43.372Z
https://www.krea.ai/nodes/app/fashionablesparrow/basketball-memes-1,/nodes/app/fashionablesparrow/basketball-memes-1,4,nodes app fashionablesparrow basketball memes 1,,meme,,general-meme,meme related utility.,2025-12-05T11:14:28.709Z
https://www.krea.ai/nodes/app/dedicatedmodestsnail/scheck,/nodes/app/dedicatedmodestsnail/scheck,4,nodes app dedicatedmodestsnail scheck,,,,unknown,,2025-12-04T13:36:04.981Z
https://www.krea.ai/nodes/app/paiaz/photo-booth,/nodes/app/paiaz/photo-booth,4,nodes app paiaz photo booth,,photo,,general-photo,photo related utility.,2025-12-22T17:24:54.218Z
https://www.krea.ai/nodes/app/keeninspiringfangtooth/the-three-dwarfs-of-growth4,/nodes/app/keeninspiringfangtooth/the-three-dwarfs-of-growth4,4,nodes app keeninspiringfangtooth the three dwarfs of growth4,,,,unknown,,2025-12-15T04:23:21.710Z
https://www.krea.ai/nodes/app/Beccu/digicam,/nodes/app/Beccu/digicam,4,nodes app beccu digicam,,,,unknown,,2025-12-05T22:34:43.921Z
https://www.krea.ai/nodes/app/astoundingluxurygiraffe/concept-to-complete-photoshoot,/nodes/app/astoundingluxurygiraffe/concept-to-complete-photoshoot,4,nodes app astoundingluxurygiraffe concept to complete photoshoot,,,,unknown,,2025-12-07T05:52:06.738Z
https://www.krea.ai/nodes/app/louquai/feral-frog,/nodes/app/louquai/feral-frog,4,nodes app louquai feral frog,,,,unknown,,2025-12-15T00:37:32.036Z
https://www.krea.ai/nodes/app/umiros/storyboard-generator-v1,/nodes/app/umiros/storyboard-generator-v1,4,nodes app umiros storyboard generator v1,generate,,,generate-general,Generate new content from prompts or source assets.,2025-12-12T13:45:08.878Z
https://www.krea.ai/nodes/app/stainlesslegendarymoorhen/3d-porcelain-christmas-ornament,/nodes/app/stainlesslegendarymoorhen/3d-porcelain-christmas-ornament,4,nodes app stainlesslegendarymoorhen 3d porcelain christmas ornament,,,,unknown,,2025-12-16T04:53:47.263Z
https://www.krea.ai/nodes/app/leadingcheerfulsalmon/modelka,/nodes/app/leadingcheerfulsalmon/modelka,4,nodes app leadingcheerfulsalmon modelka,,,,unknown,,2025-12-16T15:02:08.638Z
https://www.krea.ai/nodes/app/reebwheep/3000-1,/nodes/app/reebwheep/3000-1,4,nodes app reebwheep 3000 1,,,,unknown,,2025-12-13T13:26:25.220Z
https://www.krea.ai/nodes/app/terrificstrikingmongoose/workit-studio-img-to-vid-5,/nodes/app/terrificstrikingmongoose/workit-studio-img-to-vid-5,4,nodes app terrificstrikingmongoose workit studio img to vid 5,,,,unknown,,2025-12-07T14:33:09.969Z
https://www.krea.ai/nodes/app/verifiablesmartestbinturong/modelka-1,/nodes/app/verifiablesmartestbinturong/modelka-1,4,nodes app verifiablesmartestbinturong modelka 1,,,,unknown,,2025-12-16T15:01:32.168Z
https://www.krea.ai/nodes/app/mercifulundauntedfrigatebird/recipe-images-text-to-images-test-01,/nodes/app/mercifulundauntedfrigatebird/recipe-images-text-to-images-test-01,4,nodes app mercifulundauntedfrigatebird recipe images text to images test 01,,text,,general-text,text related utility.,2025-12-16T13:22:12.203Z
https://www.krea.ai/nodes/app/cristianrojas/character-contact-sheet,/nodes/app/cristianrojas/character-contact-sheet,4,nodes app cristianrojas character contact sheet,,,,unknown,,2025-12-08T15:52:30.418Z
https://www.krea.ai/nodes/app/fastmagic/product-cinematic-ad,/nodes/app/fastmagic/product-cinematic-ad,4,nodes app fastmagic product cinematic ad,,,,unknown,,2025-12-20T22:16:32.982Z
https://www.krea.ai/nodes/app/rewardingnavigablechimaera/microscopic-object-generator,/nodes/app/rewardingnavigablechimaera/microscopic-object-generator,4,nodes app rewardingnavigablechimaera microscopic object generator,generate,,,generate-general,Generate new content from prompts or source assets.,2025-12-18T08:53:58.304Z
https://www.krea.ai/nodes/app/InformDesigns/celebrity-twin-1,/nodes/app/InformDesigns/celebrity-twin-1,4,nodes app informdesigns celebrity twin 1,,,,unknown,,2025-12-17T18:49:17.683Z
https://www.krea.ai/nodes/app/InformDesigns/disney-me,/nodes/app/InformDesigns/disney-me,4,nodes app informdesigns disney me,,,,unknown,,2025-12-22T12:26:42.609Z
https://www.krea.ai/nodes/app/sharpestlegendaryferret/shooting-plan-1,/nodes/app/sharpestlegendaryferret/shooting-plan-1,4,nodes app sharpestlegendaryferret shooting plan 1,,,,unknown,,2025-12-19T18:57:45.862Z
